id,rent,rentsqm,area,yearc,location,bath,kitchen,cheating,district
1,120.97435760498,3.45641016960144,35,1939,"1","0","0","0",1112
2,436.974334716797,4.20167636871338,104,1939,"1","1","0","1",1112
3,355.743591308594,12.2670211791992,29,1971,"2","0","0","1",2114
4,282.923095703125,7.2544355392456,39,1972,"2","0","0","1",2148
5,807.230773925781,8.32196426391602,97,1985,"1","0","0","1",2222
6,482.820526123047,7.78742551803589,62,1962,"1","0","0","1",2222
7,323.692321777344,10.4416875839233,31,1965,"1","0","0","1",2211
8,370.974365234375,6.0815486907959,61,1957.5,"2","1","0","1",2142
9,373.692321777344,5.19016885757446,72,1978,"1","0","0","1",2143
10,521.692321777344,6.95589733123779,75,1968,"1","0","0","1",2142
11,644.205078125,9.91084671020508,65,1956,"2","0","0","1",2113
12,700.461547851562,7.69737911224365,91,1984,"1","0","0","1",1402
13,781.128173828125,7.81128215789795,100,1959,"1","0","0","1",1516
14,412.307678222656,12.884614944458,32,1994.5,"1","0","0","1",1541
15,330.307678222656,5.16105651855469,64,1962,"1","0","0","1",1123
16,245.897430419922,3.90313386917114,63,1929,"1","0","0","0",1132
17,557.025634765625,5.40801572799683,103,1955,"1","1","0","1",1111
18,424.974365234375,5.82156419754028,73,1980,"1","0","0","1",1133
19,330.205139160156,5.50342082977295,60,1957,"1","0","0","1",1123
20,292.307678222656,5.03978776931763,58,1934,"1","0","0","0",1133
21,333.538482666016,10.423077583313,32,1972,"1","0","0","1",1134
22,322.256408691406,3.97847437858582,81,1996,"1","0","1","1",1212
23,185.487182617188,4.75608205795288,39,1935,"1","0","0","1",1132
24,472.05126953125,4.37084531784058,108,1955,"1","1","0","1",1111
25,685.538513183594,7.87975358963013,87,1979,"2","1","1","1",2145
26,509.128204345703,8.48547267913818,60,1939,"2","0","0","1",2145
27,688.974365234375,5.51179504394531,125,1979,"1","0","0","1",2412
28,205.33332824707,3.06467700004578,67,1964,"1","0","0","0",2314
29,368.769226074219,4.60961580276489,80,1972,"1","0","0","1",2314
30,636.410278320312,8.60013771057129,74,1957,"1","0","0","1",2414
31,237.897430419922,5.66422605514526,42,1962,"1","0","0","1",2314
32,413.230773925781,10.5956611633301,39,1996,"1","0","0","1",2314
33,846.102600097656,9.40113830566406,90,1983,"2","0","1","1",2144
34,375.692291259766,4.69615364074707,80,1971,"1","0","0","1",1012
35,329.897430419922,8.04627704620361,41,1960,"1","0","0","1",2421
36,303.794891357422,5.14906644821167,59,1960,"1","0","0","1",2421
37,925.282104492188,8.64749717712402,107,1918,"2","0","0","1",231
38,483.025665283203,7.66707181930542,63,1929,"1","0","0","0",210
39,1150.15393066406,7.37277936935425,156,1918,"2","0","0","0",210
40,531.384582519531,4.83076858520508,110,1918,"2","0","0","1",232
41,664.05126953125,10.3757991790771,64,1918,"3","0","0","1",911
42,312.615386962891,4.16820478439331,75,1960,"3","0","0","1",924
43,377.589752197266,6.99240493774414,54,1934,"2","0","0","1",922
44,521.538452148438,7.45054864883423,70,1970,"1","0","1","1",1022
45,471.846130371094,6.64571809768677,71,1970,"1","0","0","1",2314
46,345.897430419922,10.4817380905151,33,1967,"3","0","0","1",964
47,114.461540222168,3.27032971382141,35,1939,"1","0","0","0",2314
48,326.358978271484,12.0873689651489,27,1972,"2","0","0","1",922
49,390.512817382812,8.13568210601807,48,1972,"3","0","0","1",911
50,542.717956542969,10.0503330230713,54,1986,"2","0","0","1",964
51,336.974334716797,11.2324771881104,30,1972,"1","0","0","1",2121
52,486.05126953125,5.65175914764404,86,1965,"1","0","0","1",963
53,433.282073974609,7.22136926651001,60,1957.5,"2","0","0","1",961
54,713.538452148438,8.20158958435059,87,1981,"1","0","0","1",1361
